SOC,Temperature(C),Capacity,R_50%,True_SOP(W),SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
0.8,10,2.72,14.84,101.2332301,25.586319,-4.375891,0.6802932,6.710681
0.8,25,2.54,21.78,99.778,26.649824,4.8289924,-0.029048888,-4.95867
0.8,10,2.54,20.9,92.225,28.56305,-5.3271236,-0.91671133,-3.412583
0.8,25,2.54,20.9,100.65,25.943174,4.996244,-0.07618735,-2.9995518
0.8,10,2.65,19.12,94.324,28.75207,-5.061798,-0.0962053,-2.4671247
0.8,25,2.58,20.28,101.17,25.92982,4.896995,0.05928963,-2.9149535
0.8,25,2.68,16.52,104.83,24.49643,4.4390206,0.71084094,2.3698943
0.8,10,2.54,21.78,90.992,29.048676,-5.1351123,-0.9720529,-5.0124397
0.8,10,2.79,14.02,102.6936779,25.667212,-4.235461,1.9224846,6.6769185
0.8,10,2.85,13.16,104.0654473,25.400892,-4.43223,1.905605,7.718106
0.8,10,2.38,25.61,86.659,29.630476,-5.44504,-1.878853,-8.567493
0.8,25,2.5,24.22,96.89495702,27.659721,5.2595167,-1.0176172,-8.007885
0.8,25,2.38,25.61,95.949,26.962526,5.150183,-1.7754714,-7.0506945
0.8,10,2.36,27.18,84.927,29.688755,-5.560214,-3.2665477,-9.286836
0.8,25,2.36,27.18,94.5,26.93813,5.2724366,-3.0168223,-7.6699233
0.8,25,2.79,14.02,107.3606916,23.141268,3.8573103,1.7773523,5.700494
0.8,25,2.33,28.63,92.977,27.02271,5.268523,-4.242098,-8.152488
0.8,10,2.33,28.63,83.301,29.859945,-5.5674944,-4.483656,-9.855184
0.8,25,2.5,22.73,98.981,26.885822,4.960841,-0.65363806,-5.141016
0.8,10,2.42,23.97,88.539,29.90962,-5.2432084,-1.9949796,-7.223983
0.8,25,2.72,14.84,106.5357194,23.01607,4.015872,0.80990505,5.718439
0.8,25,2.98,13.31,108.5047795,22.096712,3.5008729,2.7678127,6.85988
0.8,25,2.42,23.97,97.587,27.419489,4.9465933,-2.1081707,-5.8430605
0.8,10,2.71,15.67,99.694,26.663847,-4.6157107,0.1960189,4.537687
0.8,25,2.61,18.56,102.84,25.251236,4.7763042,0.61229503,-0.42498365
0.8,25,2.74,16.12,105.11,24.917065,4.5378213,0.20496234,2.5659132
0.8,25,2.76,15.32,105.91,24.26717,4.261619,0.09710131,4.1597247
0.8,25,2.71,17.26,103.93,25.726866,4.549321,0.20805529,0.15231852
0.8,10,2.65,17.57,97.04,27.563124,-4.949951,0.4566388,0.84216994
0.8,25,2.65,17.57,103.82,24.942387,4.6197543,0.8720761,0.7765218
0.8,10,2.74,16.12,98.461,27.739555,-4.9200597,-0.15411782,2.6009111
0.8,25,2.42,22.58,91.806,27.561352,2.9299471,-3.4621809,-9.646845
0.8,25,2.67,18.24,103.06,25.686735,4.674765,0.21606398,-0.58457375
0.8,10,2.98,13.31,105.0171852,24.332539,-3.8597777,3.6290436,8.017798
0.8,25,2.92,13.02,108.3629611,22.839457,3.7261307,2.5687876,6.209403
0.8,10,2.71,17.26,96.697,28.393064,-4.9029694,-0.01869873,0.16409193
0.8,10,2.92,13.02,104.3045696,25.307764,-4.118744,3.0807524,6.9757075
0.8,10,2.42,22.58,90.258,29.833246,-3.071343,-1.8755944,-6.8392587
0.8,10,2.76,15.32,99.999,26.989481,-4.639573,-0.2039994,4.8182206
0.8,10,2.58,19.76,93.528,28.624887,-5.206428,-0.5087359,-2.6723835
0.8,25,2.78,14.71,106.47,23.731693,4.001879,0.04862292,5.4012623
0.8,25,2.58,19.76,101.68,25.859627,4.873873,0.15267676,-2.3697004
0.8,25,2.48,21.32,100.16,25.758177,4.9583483,-0.089173555,-3.2146466
0.8,10,2.61,18.56,95.574,27.957344,-5.1084714,0.07628839,-0.55946624
0.8,25,2.86,13.52,107.77,22.88897,3.7431872,2.1649232,5.694416
0.8,10,2.48,21.32,91.806,28.39295,-5.2708044,-0.9069207,-3.560245
0.8,10,2.78,14.71,101.3,26.417717,-4.3825183,-0.0720461,6.406651
0.8,10,2.86,13.52,103.41,25.424732,-4.129217,2.500551,6.720327
0.8,25,2.91,13.04,108.7202234,21.752491,3.5424733,2.9063332,7.1917768
0.8,25,2.82,14.02,107.23,23.279093,3.9558992,1.3190796,5.6431646
0.8,10,2.82,14.02,102.37,25.8658,-4.357644,1.2434405,6.5945663
0.8,10,2.5,24.22,87.46484465,30.257732,-5.5670323,-1.3578323,-9.020251
0.8,10,2.5,22.73,90.294,29.399035,-5.258415,-1.0195146,-5.546088
0.8,10,2.91,13.04,104.9005729,24.08304,-3.9055338,3.6383657,8.408359
0.8,25,2.85,13.16,108.3309667,22.691431,3.9940321,2.0434859,6.9215417
0.7,10,2.91,13.04,102.3505908,21.923613,-3.8349023,3.5653853,8.4194765
0.7,10,2.5,22.73,88.232,27.359983,-5.2191086,-1.0334123,-5.4907246
0.7,10,2.38,25.61,83.953,27.34959,-5.4216986,-1.9013933,-8.737781
0.7,10,2.85,13.16,101.8965778,23.278133,-4.361599,1.8541932,7.7478848
0.7,10,2.82,14.02,100.54,23.762203,-4.287011,1.1982021,6.6420364
0.7,25,2.82,14.02,105.09,21.032198,3.8832395,1.2557653,5.705006
0.7,25,2.91,13.04,106.1245812,19.449759,3.4698136,2.8152764,7.217269
0.7,10,2.5,24.22,85.07995234,27.988123,-5.5435014,-1.3690877,-9.1954365
0.7,25,2.78,14.71,104.43,21.54974,3.9292219,0.050253272,5.459892
0.7,25,2.48,21.32,98.03,23.518345,4.891193,-0.06445335,-3.242422
0.7,25,2.58,19.76,99.595,23.824305,4.8051443,0.28432804,-2.301051
0.7,10,2.58,19.76,91.19,26.72335,-5.1413665,-0.40225226,-2.5843618
