colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,val_rmse,val_r2,best_iteration,best_n_estimators,n_leaves,n_splits,n_nodes
0.75,1.0,0.03,4,5,10,0.8,5.046597983722342,0.9783957350434066,733,734,8152,7368,15520
0.75,0.1,0.05,3,3,5,0.8,5.048513745482875,0.9783793293456821,991,992,7494,6494,13988
0.75,1.0,0.03,4,8,5,0.8,5.048590175297307,0.9783786747069357,734,735,8108,7323,15431
0.75,0.3,0.03,4,8,1,0.8,5.049228929124912,0.9783732032475846,448,449,6080,5581,11661
0.75,0.0,0.03,4,8,5,1.0,5.051853991285295,0.9783507101326071,999,1000,11376,10376,21752
0.75,0.1,0.1,4,3,20,1.0,5.05189180497884,0.9783503860366702,491,492,4478,3936,8414
0.75,0.0,0.03,4,8,5,0.8,5.0547119508471585,0.9783262081194527,722,723,8962,8189,17151
0.75,1.0,0.05,3,3,5,0.8,5.05478408319743,0.9783255895312056,991,992,7181,6181,13362
0.75,0.1,0.1,3,3,10,0.8,5.055705856866454,0.978317683863159,722,723,5700,4927,10627
0.75,0.1,0.1,4,5,10,0.8,5.062482429505261,0.9782595197742108,370,371,5004,4583,9587
0.75,0.1,0.03,4,8,5,0.8,5.070710985418488,0.9781887884104178,722,723,8918,8145,17063
0.75,0.0,0.1,4,3,20,0.8,5.072307230546244,0.97817505403655,456,457,6203,5696,11899
0.75,1.0,0.05,4,5,20,0.8,5.075484627941355,0.9781477022838491,648,649,6864,6165,13029
0.75,0.0,0.03,4,5,20,0.8,5.081089509583703,0.9780994124440942,997,998,11338,10338,21676
0.75,0.3,0.03,4,5,20,0.8,5.081144934097433,0.978098934658362,997,998,10921,9921,20842
0.75,0.3,0.03,4,8,5,0.8,5.0813165088274665,0.9780974555693516,722,723,8738,7965,16703
0.75,0.3,0.1,4,5,10,0.8,5.081608159662804,0.9780949412293414,369,370,4795,4375,9170
0.75,1.0,0.1,3,3,10,0.8,5.082571058504338,0.9780866389937438,721,722,5240,4468,9708
0.75,0.3,0.05,4,8,20,0.8,5.0855271429576145,0.9780611414324498,734,735,8374,7589,15963
0.75,0.0,0.1,4,5,10,0.8,5.086729566884746,0.9780507657422373,370,371,5163,4742,9905
0.75,0.1,0.03,4,5,20,0.8,5.088943975073893,0.9780316512432377,997,998,11161,10161,21322
0.75,0.0,0.05,4,5,5,0.8,5.090492222472967,0.978018282020499,448,449,6139,5640,11779
0.75,0.0,0.03,4,8,10,0.8,5.095781885008634,0.977972574738131,860,861,10318,9407,19725
0.75,0.1,0.03,4,3,5,1.0,5.096173362031591,0.9779691901497424,811,812,8021,7159,15180
0.75,0.3,0.1,3,3,10,0.8,5.096721465076306,0.9779644509847056,721,722,5636,4864,10500
0.75,0.1,0.1,4,5,10,1.0,5.101832598706805,0.9779202331050482,336,337,3034,2647,5681
0.75,1.0,0.03,4,5,20,0.8,5.102298753585065,0.9779161980603589,997,998,10040,9040,19080
0.75,0.3,0.1,3,8,20,0.8,5.103719033520917,0.9779039018198855,998,999,6960,5960,12920
0.75,0.1,0.03,4,8,20,0.8,5.1039011792543585,0.9779023246241969,996,997,10691,9691,20382
0.75,0.3,0.05,4,5,20,0.8,5.106862007354716,0.9778766789882483,648,649,7740,7041,14781
0.75,0.0,0.05,3,3,1,0.8,5.109600023931626,0.9778529500299187,852,853,6919,6016,12935
0.75,0.3,0.1,4,8,1,0.8,5.110975515299386,0.9778410245656146,328,329,4253,3874,8127
0.75,0.1,0.05,4,5,20,0.8,5.113153509564777,0.9778221348626592,648,649,7939,7240,15179
0.75,0.0,0.03,4,8,20,0.8,5.11479869430802,0.9778078608710071,996,997,10782,9782,20564
0.75,0.0,0.05,4,8,10,1.0,5.115187637629621,0.9778044856404251,997,998,10735,9735,20470
0.75,0.0,0.05,4,3,20,1.0,5.117949779931604,0.9777805085251936,787,788,10296,9458,19754
0.75,0.0,0.1,4,5,1,1.0,5.118750855946402,0.9777735522651828,440,441,6172,5681,11853
0.75,1.0,0.05,4,5,5,0.8,5.121354261031294,0.9777509377001622,448,449,4983,4484,9467
0.75,0.3,0.03,4,8,20,0.8,5.121573715434855,0.9777490308766694,996,997,10521,9521,20042
0.75,0.0,0.05,4,8,20,0.8,5.12403949644109,0.9777276002665866,648,649,7675,6976,14651
0.75,0.0,0.05,4,5,20,0.8,5.124260986085628,0.9777256747496105,648,649,8072,7373,15445
0.75,0.1,0.05,3,3,1,0.8,5.127318726035666,0.9776990838264189,852,853,6911,6008,12919
0.75,0.0,0.05,4,5,10,0.8,5.128429839027526,0.9776894173617977,448,449,5891,5392,11283
0.75,0.1,0.05,4,5,10,0.8,5.134766475942017,0.9776342498324908,448,449,5836,5337,11173
0.75,0.3,0.03,4,3,5,1.0,5.136420190505616,0.9776198411839417,741,742,6128,5336,11464
0.75,1.0,0.03,4,8,20,0.8,5.141679787519908,0.9775739839998168,991,992,9920,8920,18840
0.75,1.0,0.05,4,5,10,0.8,5.14407128860636,0.977553117545085,453,454,5133,4629,9762
0.75,0.3,0.05,3,3,1,0.8,5.145464454690931,0.9775409573442219,852,853,6850,5947,12797
0.75,0.0,0.03,4,8,1,1.0,5.146024638350101,0.977536066872755,885,886,11676,10740,22416
0.75,1.0,0.1,4,5,10,0.8,5.151604117244366,0.9774873282845341,347,348,3669,3271,6940
0.75,1.0,0.05,4,8,20,0.8,5.156054164972587,0.9774484177894557,582,583,6224,5591,11815
0.75,0.1,0.1,4,5,20,1.0,5.156732534204001,0.9774424832878459,424,425,3806,3331,7137
0.75,0.0,0.03,4,5,10,1.0,5.156880217867103,0.9774411912199017,999,1000,11821,10821,22642
0.75,0.1,0.05,4,3,5,1.0,5.156937612027376,0.9774406890747919,541,542,4699,4107,8806
0.75,0.3,0.05,4,5,5,1.0,5.168839847226755,0.9773364349218125,412,413,3368,2905,6273
0.75,0.1,0.03,4,5,10,1.0,5.169273687854394,0.9773326302816134,882,883,10065,9132,19197
0.75,0.1,0.1,4,8,10,1.0,5.1707888571987075,0.9773193402377053,241,242,2755,2463,5218
0.75,0.0,0.1,4,8,1,1.0,5.170866131830679,0.9773186623323487,370,371,5003,4582,9585
0.75,1.0,0.1,3,5,10,0.8,5.172088009030504,0.9773079418522427,721,722,5170,4398,9568
0.75,0.0,0.03,4,8,10,1.0,5.177449240585371,0.9772608736541873,999,1000,11462,10462,21924
0.75,0.0,0.1,3,8,10,0.8,5.178775695460874,0.977249220700237,734,735,5627,4842,10469
0.75,1.0,0.05,4,8,10,0.8,5.178993100258942,0.9772473105065196,456,457,5072,4565,9637
0.75,0.0,0.1,4,8,20,1.0,5.179765220926923,0.9772405257392734,861,862,10241,9329,19570
0.75,0.0,0.03,4,3,10,1.0,5.179766951369219,0.9772405105324208,999,1000,11430,10430,21860
0.75,0.1,0.05,4,5,1,1.0,5.181486827867296,0.9772253940185055,281,282,3682,3350,7032
0.75,0.1,0.05,4,3,20,1.0,5.185932451369689,0.9771862968399639,840,841,8436,7545,15981
0.75,0.0,0.05,4,5,20,1.0,5.189912193994105,0.9771512684220688,820,821,10179,9308,19487
0.75,0.0,0.1,4,5,5,1.0,5.191766046656667,0.9771349422317499,300,301,4155,3804,7959
0.75,0.1,0.05,4,3,10,1.0,5.193853039549532,0.9771165558854684,645,646,5848,5152,11000
0.75,1.0,0.1,4,3,1,0.8,5.194542430305251,0.9771104807494654,117,118,1993,1825,3818
0.75,0.3,0.1,4,3,20,1.0,5.205817916588479,0.9770110030477579,349,350,2851,2451,5302
0.75,0.0,0.05,4,8,5,0.8,5.207439283450809,0.9769966808402054,448,449,5805,5306,11111
0.75,0.0,0.05,4,8,1,1.0,5.2095317932343566,0.9769781902390584,523,524,7201,6627,13828
0.75,0.0,0.1,3,5,10,0.8,5.212100473562072,0.9769554817687793,721,722,5679,4907,10586
0.75,0.0,0.1,4,5,20,0.8,5.214577754104143,0.9769335707163592,449,450,5929,5429,11358
0.75,1.0,0.1,4,3,20,0.8,5.2184808557179165,0.9768990274357787,377,378,4038,3610,7648
0.75,0.3,0.03,4,3,1,1.0,5.220615576530677,0.9768801237683162,635,636,5558,4872,10430
0.75,0.1,0.05,4,8,10,0.8,5.220620467059999,0.9768800804521655,456,457,5632,5125,10757
0.75,0.3,0.1,4,5,10,1.0,5.223749960992173,0.9768523537347983,270,271,2089,1768,3857
0.75,0.0,0.1,4,8,5,1.0,5.226153626214959,0.9768310464388178,547,548,6987,6389,13376
0.75,0.3,0.05,4,8,10,0.8,5.230508377843338,0.9767924187667539,456,457,5543,5036,10579
0.75,0.1,0.1,4,5,1,1.0,5.230509229627719,0.9767924112080788,146,147,2033,1836,3869
0.75,0.0,0.05,4,8,10,0.8,5.237990594650749,0.976725974612431,456,457,5703,5196,10899
0.75,0.3,0.1,4,5,20,0.8,5.2418877774300245,0.9766913289322262,449,450,5458,4958,10416
0.75,0.1,0.05,4,5,20,1.0,5.242331246891578,0.9766873848870675,779,780,8848,8018,16866
1.0,0.0,0.1,4,3,1,0.8,5.243016959506463,0.9766812857685616,461,462,7506,6994,14500
0.75,1.0,0.05,4,5,5,1.0,5.243861435024475,0.9766737734262206,401,402,2831,2379,5210
0.75,0.3,0.05,4,3,5,1.0,5.249455748357006,0.9766239766001339,443,444,3663,3169,6832
0.75,1.0,0.03,4,8,10,0.8,5.250097399757579,0.9766182616553594,581,582,6585,5953,12538
0.75,0.3,0.05,4,5,1,1.0,5.250505896729068,0.9766146229644328,227,228,3034,2756,5790
0.75,0.0,0.1,4,3,1,1.0,5.250894993510047,0.9766111568176425,300,301,4480,4129,8609
0.75,0.0,0.1,3,5,20,0.8,5.251883727090205,0.9766023478386352,730,731,5654,4873,10527
0.75,0.0,0.1,4,8,1,0.8,5.252209452975722,0.9765994454677137,152,153,2478,2275,4753
0.75,0.3,0.1,3,5,20,0.8,5.25364050628225,0.9765866919766933,734,735,5573,4788,10361
0.75,0.0,0.1,3,3,1,0.8,5.254057507183769,0.9765829750272679,347,348,3067,2669,5736
0.75,0.1,0.05,4,8,5,0.8,5.254782902107801,0.9765765084959654,448,449,5747,5248,10995
0.75,0.3,0.03,4,8,10,0.8,5.254871382770419,0.9765757196742247,580,581,6878,6247,13125
0.75,0.3,0.1,4,8,20,0.8,5.254897610538799,0.976575485846187,430,431,5077,4596,9673
0.75,0.1,0.1,4,5,20,0.8,5.255512110104827,0.9765700070732497,430,431,5531,5050,10581
0.75,1.0,0.03,4,3,5,1.0,5.262622704664065,0.976506563633053,675,676,5039,4313,9352
0.75,0.1,0.1,4,8,1,0.8,5.2633922320322135,0.9764996924720137,152,153,2459,2256,4715
0.75,1.0,0.05,4,8,5,0.8,5.263807528141371,0.9764959838480393,448,449,5034,4535,9569
0.75,0.3,0.05,4,8,5,0.8,5.264222349714124,0.9764922791696011,448,449,5617,5118,10735
0.75,0.1,0.1,4,3,1,1.0,5.266857115662981,0.976468741849854,230,231,2192,1911,4103
0.75,0.3,0.1,3,5,10,0.8,5.26700334325582,0.9764674352007741,563,564,4403,3789,8192
1.0,0.3,0.1,4,3,1,0.8,5.268485134835277,0.9764541922771559,332,333,4919,4536,9455
0.75,0.1,0.03,4,8,1,1.0,5.286812851463447,0.9762900876091026,697,698,6624,5876,12500
0.75,1.0,0.05,3,3,1,0.8,5.287114944155763,0.9762873779251746,723,724,5711,4937,10648
0.75,0.1,0.1,4,8,1,1.0,5.289624800785975,0.9762648592515045,148,149,2001,1802,3803
0.75,0.1,0.05,3,3,10,0.8,5.290816077223717,0.9762541672652467,991,992,7389,6389,13778
0.75,0.3,0.03,4,5,1,1.0,5.29122419203441,0.9762505037851124,386,387,5056,4619,9675
0.75,1.0,0.1,4,3,1,1.0,5.291872549197,0.9762446831663587,99,100,1367,1217,2584
0.75,0.1,0.03,4,5,1,1.0,5.2926781382113814,0.9762374500069338,565,566,6371,5755,12126
0.75,0.1,0.1,4,8,20,0.8,5.293163267697805,0.9762330936332039,344,345,4298,3903,8201
0.75,0.0,0.1,4,8,20,0.8,5.293832908470031,0.9762270797260358,345,346,4394,3998,8392
0.75,0.0,0.1,3,8,20,0.8,5.294297338660196,0.9762229083264529,730,731,5558,4777,10335
0.75,1.0,0.05,3,3,10,0.8,5.2987270941217295,0.9761831029439617,991,992,7082,6082,13164
0.75,0.1,0.1,3,8,20,0.8,5.300836033697234,0.9761641405057969,734,735,5563,4778,10341
0.75,1.0,0.05,4,5,1,1.0,5.301383109535821,0.9761592202646727,190,191,2543,2302,4845
0.75,0.1,0.03,4,8,10,0.8,5.301582831155036,0.976157423899941,469,470,5679,5159,10838
0.75,0.0,0.05,3,3,10,0.8,5.30287179329201,0.9761458289047318,991,992,7413,6413,13826
0.75,0.1,0.1,4,5,5,1.0,5.303105916570645,0.9761437225215307,251,252,2322,2020,4342
0.75,0.3,0.1,4,5,20,1.0,5.307302395019031,0.9761059514618688,286,287,2486,2149,4635
0.75,0.1,0.03,4,8,10,1.0,5.310673212598381,0.9760755902537602,821,822,9092,8220,17312
0.75,1.0,0.03,4,5,1,1.0,5.310741321049722,0.976074976597118,581,582,4612,3980,8592
0.75,1.0,0.1,4,8,20,0.8,5.312207560743598,0.9760617638799272,391,392,4087,3645,7732
0.75,0.3,0.05,4,3,20,1.0,5.3145145545793016,0.9760409674956693,700,701,5814,5063,10877
0.75,0.1,0.05,4,8,5,1.0,5.318132371570513,0.976008336519809,335,336,4108,3722,7830
0.75,1.0,0.1,4,5,10,1.0,5.318937401792699,0.9760010725125755,229,230,1515,1235,2750
0.75,0.3,0.1,3,3,1,0.8,5.321478387039333,0.9759781372974735,342,343,2981,2588,5569
0.75,0.1,0.03,4,5,5,1.0,5.321658050075575,0.9759765152243086,811,812,7317,6455,13772
0.75,0.3,0.05,3,3,10,0.8,5.3234203036425365,0.9759606019578114,991,992,7320,6320,13640
0.75,1.0,0.1,4,8,1,0.8,5.32457365448244,0.9759501842707502,152,153,2180,1977,4157
0.75,0.1,0.05,4,5,10,1.0,5.333602312616588,0.9758685545764009,588,589,5182,4543,9725
