SOC,PulseLength(s),Temperature(C),Voltage(V),SOP(W)
0.900008333,10.002,-18.995,3.3155,22.413
0.900016667,10.003,-17.883,3.3186,22.641
0.899975,10.003,-18.008,3.3207,22.889
0.899975,10.002,-18.526,3.322,23.091
0.849983333,10.003,-18.754,3.2963,20.087
0.849983333,10.004,-18.782,3.3029,21.038
0.849983333,10.003,-18.719,3.3076,21.588
0.849983333,10.003,-18.102,3.3114,21.936
0.8,10.004,-18.153,3.2883,18.781
0.800008333,10.004,-17.963,3.2947,19.893
0.800008333,10.003,-19.014,3.299,20.595
0.800008333,10.004,-19.119,3.3024,21.045
0.750025,10.003,-17.91,3.2814,17.952
0.750041667,10.001,-18.709,3.2872,19.072
0.750058333,10.001,-18.507,3.2907,19.839
0.750058333,10.003,-17.895,3.2936,20.301
0.750025,10.003,-19.088,3.296,20.64
0.7,10.003,-18.545,3.2751,16.899
0.700025,10.003,-17.841,3.2806,18.044
0.7,10.003,-19.11,3.2839,18.83
0.7,10.003,-18.039,3.2864,19.266
0.7,10.002,-18.827,3.2883,19.623
0.7,10.005,-18.067,3.2912,19.923
0.7,10.005,-17.99,3.2925,20.17
0.65,10.003,-18.486,3.2698,16.011
0.65,10.002,-18.241,3.2753,17.131
0.650083333,10.004,-18.591,3.2788,17.897
0.65,10.003,-18.107,3.2811,18.459
0.65,10.002,-18.33,3.284,18.895
0.65,10.003,-18.277,3.2853,19.215
0.65,10.002,-18.874,3.2865,19.453
0.6,10.003,-19.178,3.2647,15.035
0.6,10.003,-19.051,3.271,16.14
0.599916667,10.003,-18.057,3.2745,16.932
0.6,10.001,-18.478,3.277,17.516
0.6,10.004,-18.362,3.2789,17.92
0.6,10.002,-18.431,3.2804,18.239
0.599916667,10.001,-18.229,3.2827,18.499
0.6,10.001,-17.857,3.2836,18.695
0.549916667,10.003,-19.036,3.2599,14.113
0.549916667,10.003,-17.915,3.2669,15.138
0.549916667,10.003,-18.507,3.2707,15.946
0.549916667,10.004,-18.314,3.2736,16.523
0.549916667,10.002,-19.21,3.2755,16.981
0.549916667,10.003,-18.261,3.277,17.319
0.549916667,10.002,-18.501,3.2796,17.586
0.549916667,10.002,-18.948,3.2806,17.805
0.549916667,10.003,-18.912,3.2813,18.01
0.499916667,10.003,-18.943,3.255,13.362
0.5,10.003,-17.976,3.2633,14.31
0.499916667,10.003,-19.046,3.2676,15.069
0.5,10.003,-18.821,3.2706,15.651
0.499916667,10.003,-18.431,3.2728,16.106
0.5,10.005,-19.055,3.2744,16.334
0.499833333,10.003,-18.19,3.2773,16.637
