SOC,PulseLength(s),Temperature(C),Voltage(V),True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V)
0.9,30.002,-18.49,3.3122,17.998,1.0891491196630523,-6.783865174651146,-19.896797575496603,7.421716203028336
0.9,30.002,-17.778,3.3078,17.543,2.3858014478581024,-6.054231750732288,-16.586645354719366,7.01679295535665
0.9,13.373,2.3083,3.3361,61.204,7.398547593648545,-1.382616224233061,3.6180366120755205,14.10359111577971
0.9,25.755,-8.1796,3.3219,33.856,3.6208034788595977,-3.626519242268987,-9.467537359267007,7.736034291005926
0.9,30.002,11.412,3.3376,69.976,9.194489943394437,-7.3871561257680876,12.679370505791157,16.229724060358713
0.9,10.003,-9.3521,3.3244,37.538,2.874982384960167,-1.7317764346767217,-9.790423435339472,7.947551737172762
0.9,10.002,-8.6035,3.3273,38.032,4.8245126460003664,-0.05766768956324086,-9.793432897498132,9.925174775649793
0.9,10.002,-9.2009,3.3176,35.927,1.9893271306878888,-0.7214886384084821,-9.728192277668278,7.636329391974723
0.899975,2.002,-17.82,3.3185,28.029,-0.41990811897907404,7.259383327420801,-20.29060694296495,7.329632548025111
0.899975,10.002,-18.526,3.322,23.091,0.13197659473400564,-0.7606077485345304,-20.900610201406526,7.986851274404907
0.899975,10.003,-18.008,3.3207,22.889,0.6318598993029445,-1.6994710541656242,-20.734735508480806,6.917930805158103
0.899966667,2.002,-8.4762,3.3262,48.816,1.5624321107706054,9.557240985827521,-9.496570945793064,8.727401873257477
0.899966667,2.002,-18.972,3.3138,27.417,-0.46437113132327795,8.155500332592055,-22.253344648954226,7.381842338388087
0.899966667,2.001,-17.949,3.3166,27.77,-0.5546604088367895,8.246815963629633,-22.095104142978087,7.293884966607439
0.899916667,16.023,1.9721,3.3414,59.071,6.604821224953048,-1.839132397659123,2.556924731842009,13.624189636304509
0.899916667,19.259,1.7152,3.3426,56.859,6.694453900712542,-2.8008434408903122,2.029761960064061,13.538979876057711
