SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,fold
0.949998265,10.002,0.48065,4.0894,0.0,99.233,15.052736,0.47333294,7.066197,8.743633,-2.5238771,2
0.949998265,10.002,0.48065,4.0894,0.0,99.233,18.251066,0.07737656,6.4124336,7.518889,-2.2895176,5
0.949998265,10.002,0.48065,4.0894,0.0,99.233,16.297138,0.16970146,5.7975254,6.662577,-1.8729141,1
0.949998265,10.002,0.48065,4.0894,0.0,99.233,18.782526,0.45147428,0.5514475,11.684076,-2.2503998,4
0.949998092,10.001,12.928,4.0698,0.0,93.925,13.995167,-0.5898183,5.3456335,5.3581467,-2.4219763,1
0.949998092,10.001,12.928,4.0698,0.0,93.925,18.245213,0.03191694,5.741216,6.832722,-2.2607358,3
0.949998092,10.001,12.928,4.0698,0.0,93.925,16.718187,0.43602127,6.355205,5.819693,-2.6047425,5
0.949998092,10.001,12.928,4.0698,0.0,93.925,16.154844,-0.4641894,6.0333085,6.5041213,-2.7119725,4
0.949998092,10.001,12.928,4.0698,0.0,93.925,13.156555,0.5618371,6.6325674,6.0726576,-2.9150398,2
0.94999802,10.003,2.8248,4.0639,0.0,85.512,15.58907,-1.2095652,-3.3431685,6.6435905,-3.6885655,2
0.94999802,10.003,2.8248,4.0639,0.0,85.512,19.132591,-1.0217981,-3.1422257,7.435417,-3.2177649,4
0.94999802,10.003,2.8248,4.0639,0.0,85.512,19.78869,-0.82642746,-3.305199,7.6291656,-2.6224806,3
0.94999802,10.003,2.8248,4.0639,0.0,85.512,15.762449,-0.77169985,-4.8637695,5.1889076,-2.9238324,1
0.94999802,10.003,2.8248,4.0639,0.0,85.512,18.074324,-0.34639534,-1.5080084,3.8586245,-3.440793,5
0.901256579,10.002,2.9945,3.7104,8.871478261,98.906,18.662437,0.06370608,2.40658,3.7367244,5.1577034,5
0.901256579,10.002,2.9945,3.7104,8.871478261,98.906,18.49839,0.43726754,-0.2893678,4.4766507,5.5805397,4
0.901256579,10.002,2.9945,3.7104,8.871478261,98.906,15.750019,0.4788212,0.31114128,3.3040202,5.3607764,2
0.901256579,10.002,2.9945,3.7104,8.871478261,98.906,19.48491,-0.057106506,0.14306685,4.4452276,3.7492976,3
0.901256579,10.002,2.9945,3.7104,8.871478261,98.906,16.538513,0.064175256,0.2541129,3.83018,4.8501735,1
0.901002486,10.002,2.5991,3.7788,8.998665,99.002,19.309036,0.05382199,2.1034606,3.9453852,4.9388437,5
0.901002486,10.002,2.5991,3.7788,8.998665,99.002,16.455414,0.02842994,0.28389812,4.7846932,4.896291,1
0.901002486,10.002,2.5991,3.7788,8.998665,99.002,19.16364,-0.013939565,0.22303466,4.8639507,3.4206738,3
0.901002486,10.002,2.5991,3.7788,8.998665,99.002,15.724675,0.29460013,-0.31426945,4.1344423,5.044778,2
0.901002486,10.002,2.5991,3.7788,8.998665,99.002,18.56667,0.4153008,0.4908811,5.136108,5.400501,4
0.900696173,10.001,2.3268,3.8522,6.00113,99.026,18.826027,-0.13755672,2.1257548,4.4888263,3.5893376,3
0.900696173,10.001,2.3268,3.8522,6.00113,99.026,16.21631,-0.4141578,0.81147814,5.185071,4.4562054,1
0.900696173,10.001,2.3268,3.8522,6.00113,99.026,15.335237,0.08552374,3.016093,4.668494,4.8666263,2
0.900696173,10.001,2.3268,3.8522,6.00113,99.026,18.952032,0.35731664,2.7975106,3.932815,5.014348,5
0.900696173,10.001,2.3268,3.8522,6.00113,99.026,18.191784,-0.41759282,1.3770193,5.4672318,5.5817127,4
0.900393337,10.003,2.1728,3.9378,3.00002381,99.14,18.53427,-1.119085,1.8528198,6.488873,4.8789454,4
0.900393337,10.003,2.1728,3.9378,3.00002381,99.14,16.206553,-0.6815873,0.6469418,5.020376,3.3740213,1
0.900393337,10.003,2.1728,3.9378,3.00002381,99.14,18.890692,-0.64551574,2.151983,5.1025763,3.0613177,3
0.900393337,10.003,2.1728,3.9378,3.00002381,99.14,18.686232,-0.13570814,3.4341917,4.070983,4.2857275,5
0.900393337,10.003,2.1728,3.9378,3.00002381,99.14,15.442987,-0.69130784,3.6328983,5.3612437,4.486469,2
0.900161561,2.002,26.139,4.0021,1.000121905,104.59,13.759511,1.4762137,11.034231,4.1868405,2.95453,2
0.900161561,2.002,26.139,4.0021,1.000121905,104.59,16.319616,1.008771,11.436627,4.082788,3.2503307,5
0.900161561,2.002,26.139,4.0021,1.000121905,104.59,15.492374,2.5600896,9.7112665,5.344177,2.9589882,4
0.900161561,2.002,26.139,4.0021,1.000121905,104.59,14.192531,2.6625066,8.220923,3.874634,1.7139134,1
