SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,test,SOP(W)
0.549966667,30.003,-7.5372,3.7363,0.206913793,1,48.632
0.55,30.003,-7.7528,3.742,0.107125,1,49.972
0.549966667,30.004,-7.6803,3.7803,0.103441379,1,50.814
0.499966667,30.003,-7.2131,3.6842,0.206903448,1,43.376
0.499966667,30.003,-7.7667,3.6916,0.107142857,1,44.213
0.499966667,30.004,-7.113,3.7292,0.200003333,1,44.882
0.449933333,30.003,-7.8001,3.6371,0.214282143,1,38.194
0.449933333,30.001,-7.3708,3.6472,0.107142857,1,39.017
0.449933333,30.004,-7.5392,3.6841,0.200003333,1,39.578
0.3999,30.004,-6.7914,3.5973,0.206893103,1,33.206
0.399933333,30.004,-7.0361,3.61,0.107139286,1,34.127
0.3999,30.005,-7.337,3.6458,0.199996667,1,34.747
0.3499,30.004,-7.0268,3.5594,0.206906897,1,27.952
0.3499,30.004,-6.1091,3.5726,0.107139286,1,29.03
0.349866667,30.006,-6.0364,3.6079,0.19999,1,29.75
0.299866667,30.004,-5.922,3.5165,0.206889655,1,21.918
0.2999,30.002,-5.6629,3.5318,0.111107407,1,23.124
0.299866667,30.002,-6.0123,3.5656,0.103451724,1,23.777
0.2499,30.004,-5.5567,3.4674,0.206889655,1,14.864
0.1997,30.001,-5.2009,3.4169,0.206875862,1,9.2226
0.1998,30.004,-5.039,3.4252,0.206893103,1,9.7386
0.199866667,30.003,-5.8252,3.4527,0.200006667,1,9.9756
0.150033333,30.003,-5.4482,3.3597,0.206886207,1,9.6005
0.149766667,30.003,-5.3611,3.3777,0.206910345,1,3.3919
0.149966667,30.001,-5.0221,3.403,0.200006667,1,7.1201
0.149833333,30.003,-5.078,3.4143,0.20001,1,4.7493
0.149833333,30.003,-4.9433,3.4143,0.193545161,1,2.0807
0.0999,30.002,-5.1743,3.0992,0.042778571,1,0.24011
1.00001,2.001,11.12,4.1944,0.115979063,1,107.04
0.950003333,2.004,10.717,4.0821,0.214285714,1,106.87
0.900003333,2.003,11.229,4.0647,0.214282143,1,106.88
0.85001,2.003,11.15,4.0254,0.222225926,1,106.03
0.800016667,2.004,11.371,3.9738,0.206896552,1,104.91
0.750026667,2.003,10.564,3.9258,0.206893103,1,103.84
0.700023333,2.005,10.952,3.8831,0.206896552,1,102.85
0.650013333,2.003,11.101,3.8382,0.206886207,1,101.69
0.60001,2.002,11.312,3.7904,0.206896552,1,100.3
0.550033333,2.004,10.793,3.7395,0.206896552,1,98.745
0.50002,2.002,11.183,3.6886,0.206893103,1,97.21
0.450026667,2.003,11.243,3.6446,0.206893103,1,93.411
0.400033333,2.003,10.458,3.6065,0.206882759,1,83.264
0.35,2.003,10.902,3.5695,0.20687931,1,72.066
0.300033333,2.003,11.051,3.5289,0.206896552,1,59.58
0.25,2.002,10.309,3.4834,0.206893103,1,45.26
0.2,2.001,10.284,3.4324,0.206889655,1,29.042
0.2,2.003,10.996,3.4402,0.206896552,1,33.556
0.15,2.002,11.226,3.3812,0.206896552,1,13.425
0.149966667,2.002,10.555,3.3888,0.20687931,1,19.919
0.099966667,2.002,11.148,3.2913,0.214282143,1,0.06696
0.099966667,2.002,10.656,3.3138,0.206893103,1,6.2397
0.099966667,2.004,11.34,3.3209,0.200013333,1,8.4257
0.049966667,1.883,10.566,2.8899,0.206882759,1,10.828
1.00001,10.004,10.591,4.1968,0.102128125,1,105.77
0.94999,10.003,11.426,4.091,0.111111111,1,106
0.89999,10.003,11.415,4.0741,0.214296429,1,105.49
0.849973333,10.002,10.904,4.0534,0.214275,1,104.96
0.8,10.003,10.722,4.003,0.206903448,1,103.82
0.75,10.002,10.88,3.9495,0.206889655,1,102.74
0.7,10.003,11.265,3.9045,0.206886207,1,101.71
0.65,10.004,11.279,3.8548,0.206889655,1,100.42
0.6,10.002,11.707,3.8074,0.206889655,1,98.929
0.550033333,10.003,11.116,3.7591,0.206906897,1,97.278
0.500033333,10.001,10.639,3.7095,0.206889655,1,93.164
0.450033333,10.002,11.342,3.6645,0.206889655,1,84.674
0.4,10.003,11.403,3.6279,0.206896552,1,76.323
0.35,10.002,10.458,3.5925,0.206886207,1,67.436
0.3,10.003,11.144,3.5538,0.2069,1,57.782
0.25,10.003,11.106,3.5095,0.206886207,1,45.955
0.200033333,10.002,11.33,3.4531,0.206893103,1,30.601
0.15,10.003,10.887,3.3966,0.2069,1,15.526
0.15,10.004,10.365,3.4016,0.2069,1,19.44
0.1,10.001,11.279,3.3325,0.206886207,1,6.9182
0.05,10.002,11.035,3.0035,0.116,1,1.0391
1.00001,30.003,1.6505,4.1987,0.095775,1,99.649
0.999993333,23.346,0.89952,4.199,0.038223056,1,0
0.949833333,30.004,1.2245,4.0985,0.111111111,1,100.34
0.949833333,30.001,2.1109,4.1144,0.214289286,1,102.26
0.8998,30.003,1.9027,4.0772,0.111114815,1,100.04
0.8998,30.001,1.2638,4.087,0.214285714,1,101.65
0.8498,30.004,2.1682,4.0631,0.214282143,1,99.388
0.7998,30.005,2.0683,4.0093,0.214278571,1,98.443
0.7498,30.004,1.1344,3.9487,0.206896552,1,96.378
0.6998,30.004,0.84759,3.9054,0.206893103,1,90.178
0.6498,30.004,1.0062,3.8473,0.206896552,1,82.461
0.5998,30.002,1.372,3.7973,0.206896552,1,74.269
0.5498,30.001,1.4285,3.7491,0.206889655,1,65.441
0.4998,30.004,1.5074,3.6974,0.2069,1,58.645
0.4498,30.003,1.1521,3.6517,0.206893103,1,52.25
0.4498,30.001,0.17074,3.6565,0.107139286,1,54.228
0.4498,30.004,0.99724,3.6853,0.200013333,1,54.985
0.399766667,30.003,0.18245,3.616,0.206896552,1,46.694
0.399766667,30.003,0.86228,3.6222,0.107142857,1,47.923
0.3998,30.003,0.47786,3.6517,0.206889655,1,48.527
0.349866667,30.004,0.74321,3.5786,0.206893103,1,39.626
0.349733333,30.004,0.197,3.5884,0.107135714,1,40.896
0.349833333,30.003,0.17958,3.6189,0.199993333,1,41.491
0.299733333,30.004,0.47208,3.5365,0.206896552,1,31.647
0.299733333,30.002,0.20695,3.548,0.107142857,1,32.876
0.299633333,30.004,0.61943,3.5785,0.103444828,1,33.393
0.249766667,30.003,-0.01915,3.4876,0.206896552,1,21.911
