SOC,Temperature(C),Capacity,R_50%,True_SOP(W),SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
0.9,10,2.92,13.02,106.4130656,22.09069422,-4.316900283,3.654292394,8.072929771
0.9,25,2.98,13.31,111.0312821,19.66624363,3.657346178,3.610831041,7.351374524
0.9,10,2.42,23.97,90.111,25.82813446,-5.51835235,-1.821172455,-5.285842379
0.9,10,2.65,17.57,98.831,24.23443538,-5.234012398,0.877935315,2.274842249
0.9,25,2.58,19.76,103.45,22.45926367,4.905233481,0.200599894,-0.68174994
0.9,25,2.82,14.02,109.55,20.59871545,3.9848195,2.175477249,6.283344996
0.9,25,2.78,14.71,108.65,20.85574903,4.042329575,1.055999509,5.829711527
0.9,25,2.58,20.28,102.85,22.45067917,4.917680749,0.095704189,-1.683134041
0.9,10,2.76,15.32,101.8,23.4583048,-4.819754666,0.740023785,5.805829165
0.9,10,2.79,14.02,104.7235546,22.59564587,-4.329139847,2.577003853,7.530486816
0.9,10,2.65,19.12,95.623,24.77812758,-5.67452913,0.351528129,-1.256390908
0.9,10,2.71,15.67,101.68,23.56574655,-4.68485391,0.889738765,5.886412494
0.9,10,2.54,21.78,92.246,25.07162945,-5.602998742,-0.478549235,-3.440509918
0.9,25,2.74,16.12,107.04,21.7449649,4.594097118,0.68424679,3.337306422
0.9,25,2.65,19.12,103.97,22.43564517,4.908449833,0.441615962,-0.629966373
0.9,25,2.72,14.84,108.7617801,20.29193755,3.977066394,1.505023612,6.181381574
0.9,10,2.74,16.12,99.936,24.12215462,-5.213760071,0.550677414,3.530894615
0.9,10,2.67,18.24,96.954,24.76499768,-5.299240337,0.538623171,0.422869294
0.9,25,2.67,18.24,104.82,22.28212934,4.635738989,0.509146113,0.545472158
0.9,25,2.71,15.67,107.78,21.19680179,4.162704266,0.704197095,4.826888003
0.9,25,2.54,21.78,101.41,23.13366635,4.779000175,-0.001942827,-3.289798161
0.9,10,2.72,14.84,102.9880518,22.34525814,-4.493921555,1.714041215,7.582317357
0.9,25,2.71,17.26,105.79,22.17261029,4.647306025,0.354207929,1.494339695
0.9,10,2.85,13.16,106.2203425,21.99248941,-4.180470055,2.731637068,8.730202967
0.9,10,2.71,17.26,98.2,24.5478854,-5.275377187,0.290050707,1.4787391
