SOC,Temperature(C),Capacity,R_50%,SOP(W)
0.15,25,2.33,28.63,35.311
0.1,25,2.33,28.63,26.427
0.05,25,2.33,28.63,18.663
0.02,25,2.33,28.63,12.683
0.01,25,2.33,28.63,9.8076
1,10,2.33,28.63,85.214
0.95,10,2.33,28.63,85.4
0.9,10,2.33,28.63,85.023
0.8,10,2.33,28.63,83.301
0.7,10,2.33,28.63,80.463
0.6,10,2.33,28.63,77.111
0.5,10,2.33,28.63,64.322
0.4,10,2.33,28.63,48.101
0.3,10,2.33,28.63,33.489
0.2,10,2.33,28.63,21.137
0.15,10,2.33,28.63,15.537
0.1,10,2.33,28.63,11.797
0.05,10,2.33,28.63,8.2226
0.02,10,2.33,28.63,5.2038
